booking_id,rating_text,country,rating_score,pickup_date,rating_date,number_of_passenger,vehicle,booking_departure,booking_destination
1805074,Excellent chauffeur,fr,5,2024-02-03 14:10:00,2024-02-04 01:59:00,6,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1860871,El vuelo se ha retrasado un día después aunque hemos avisado no lo han cambiado,es,1,2024-02-03 13:35:00,2024-02-03 21:58:00,2,Turismo de 3 plazas,Aeropuerto JFK,Manhattan
1860357,,es,5,2024-02-03 13:15:00,2024-02-05 02:20:00,3,Turismo de 3 plazas,Aeropuerto JFK,Manhattan
1863398,O motorista não apareceu no horário combinadomandei mensagens antes e depois do horário combinado é só me respondeu depois que tive que pegar um acidente para não perder o voo,pt,1,2024-02-03 04:00:00,2024-02-03 15:20:00,4,Vehículo de 4 plazas,Manhattan,Aeropuerto LaGuardia
1854352,Todo perfecto!!,es,5,2024-02-02 21:15:00,2024-02-03 04:09:00,2,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1828151,,es,5,2024-02-02 15:05:00,2024-02-02 22:08:00,2,Turismo de 3 plazas,Aeropuerto JFK,Manhattan
1857807,,es,5,2024-02-02 15:05:00,2024-02-02 22:03:00,2,Vehículo de 4 plazas,Aeropuerto JFK,Manhattan
1837286,,es,4,2024-02-02 12:30:00,2024-02-03 19:36:00,8,Furgoneta de 10 plazas,Manhattan,Aeropuerto JFK
1838127,,es,5,2024-02-02 12:00:00,2024-02-05 08:46:00,4,Vehículo de 4 plazas,Manhattan,Aeropuerto JFK
1857603,excelente se comunico desde ayer muy atento,ar,5,2024-02-02 09:30:00,2024-02-02 16:15:00,5,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1841880,,es,5,2024-02-01 20:20:00,2024-02-02 04:43:00,4,Vehículo de 4 plazas,Aeropuerto LaGuardia,Manhattan
1861177,,es,5,2024-02-01 17:00:00,2024-02-02 00:00:00,6,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1837697,Transfert ok. Véhicule vétuste loin de nous faire rêver,fr,3,2024-02-01 14:25:00,2024-02-02 01:09:00,4,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1799733,,br,5,2024-02-01 14:00:00,2024-02-02 12:00:00,3,Vehículo de 4 plazas,Manhattan,Aeropuerto JFK
1747265,Super merci,fr,5,2024-02-01 13:40:00,2024-02-01 22:04:00,2,Turismo de 3 plazas,Aeropuerto Newark,Manhattan
1748790,,es,5,2024-02-01 10:25:00,2024-02-02 23:23:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
